age,job,marital,education,default,housing,loan,month,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
24,3,0,3,1,1,0,0,385,2,0,0,0,1.1,93.994,-36.4,4.864,5191.0
27,1,1,1,0,0,0,2,129,2,0,0,0,1.4,93.918,-42.7,4.962,5228.1
55,3,0,3,0,0,0,1,271,2,0,0,0,-2.9,92.963,-40.8,1.215,5076.2
54,3,2,0,0,0,0,0,138,2,0,0,0,1.1,93.994,-36.4,4.86,5191.0
64,5,0,6,0,1,1,8,159,2,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
37,2,0,6,0,1,0,0,286,2,0,1,1,-1.8,92.893,-46.2,1.313,5099.1
42,4,0,4,1,1,0,5,1606,1,0,0,0,-0.1,93.2,-42.0,4.191,5195.8
49,4,0,4,0,1,0,5,259,1,0,0,0,-0.1,93.2,-42.0,4.191,5195.8
52,1,2,2,0,0,0,0,393,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
34,2,0,1,0,0,0,2,359,5,0,0,0,1.4,93.918,-42.7,4.962,5228.1
26,3,1,0,0,1,0,0,36,2,0,0,0,-1.8,92.893,-46.2,1.25,5099.1
41,1,0,6,0,1,0,5,140,1,0,0,0,-0.1,93.2,-42.0,4.153,5195.8
31,3,0,2,1,0,0,0,680,1,1,1,2,-1.8,92.893,-46.2,1.266,5099.1
34,2,0,6,0,0,0,5,230,1,0,1,1,-1.1,94.767,-50.8,1.05,4963.6
49,1,0,1,0,1,1,0,108,1,0,0,0,1.1,93.994,-36.4,4.864,5191.0
41,10,0,6,0,1,1,2,381,4,0,0,0,1.4,93.918,-42.7,4.955,5228.1
42,1,0,3,0,0,0,1,15,1,0,0,0,1.4,94.465,-41.8,4.864,5228.1
34,7,1,6,0,0,0,1,401,1,0,0,0,-1.7,94.055,-39.8,0.761,4991.6
37,4,2,1,0,0,0,5,635,1,0,1,1,-0.1,93.2,-42.0,4.021,5195.8
31,7,0,6,0,1,0,3,22,4,0,0,0,1.4,93.444,-36.1,4.962,5228.1
53,2,0,3,0,0,0,1,116,1,0,0,0,1.4,94.465,-41.8,4.961,5228.1
43,3,0,0,0,0,1,0,722,2,11,1,2,-1.8,92.893,-46.2,1.266,5099.1
36,1,0,1,0,0,0,0,227,2,0,0,0,-1.8,92.893,-46.2,1.327,5099.1
47,2,0,6,0,0,0,3,93,1,0,0,0,1.4,93.444,-36.1,4.964,5228.1
40,3,0,0,0,1,0,8,179,2,0,0,0,-1.8,93.075,-47.1,1.405,5099.1
43,2,2,1,0,0,0,0,974,1,0,0,0,1.1,93.994,-36.4,4.857,5191.0
57,2,1,6,1,0,0,3,112,1,0,0,0,1.4,93.444,-36.1,4.965,5228.1
