duration,pdays,previous,poutcome,emp.var.rate,euribor3m,nr.employed
385.0,0.0,0.0,0.0,1.1,4.864,5191.0
129.0,0.0,0.0,0.0,1.4,4.962,5228.1
271.0,0.0,0.0,0.0,-2.9,1.215,5076.2
138.0,0.0,0.0,0.0,1.1,4.86,5191.0
159.0,0.0,0.0,0.0,-1.8,1.405,5099.1
286.0,0.0,1.0,1.0,-1.8,1.313,5099.1
1606.0,0.0,0.0,0.0,-0.1,4.191,5195.8
259.0,0.0,0.0,0.0,-0.1,4.191,5195.8
393.0,0.0,0.0,0.0,1.1,4.857,5191.0
359.0,0.0,0.0,0.0,1.4,4.962,5228.1
36.0,0.0,0.0,0.0,-1.8,1.25,5099.1
140.0,0.0,0.0,0.0,-0.1,4.153,5195.8
680.0,1.0,1.0,2.0,-1.8,1.266,5099.1
230.0,0.0,1.0,1.0,-1.1,1.05,4963.6
108.0,0.0,0.0,0.0,1.1,4.864,5191.0
381.0,0.0,0.0,0.0,1.4,4.955,5228.1
15.0,0.0,0.0,0.0,1.4,4.864,5228.1
401.0,0.0,0.0,0.0,-1.7,0.761,4991.6
635.0,0.0,1.0,1.0,-0.1,4.021,5195.8
22.0,0.0,0.0,0.0,1.4,4.962,5228.1
116.0,0.0,0.0,0.0,1.4,4.961,5228.1
722.0,11.0,1.0,2.0,-1.8,1.266,5099.1
227.0,0.0,0.0,0.0,-1.8,1.327,5099.1
93.0,0.0,0.0,0.0,1.4,4.964,5228.1
179.0,0.0,0.0,0.0,-1.8,1.405,5099.1
974.0,0.0,0.0,0.0,1.1,4.857,5191.0
112.0,0.0,0.0,0.0,1.4,4.965,5228.1
129.0,0.0,1.0,1.0,-1.8,1.313,5099.1
44.0,0.0,1.0,1.0,-0.1,4.076,5195.8
125.0,0.0,0.0,0.0,-1.8,1.344,5099.1
150.0,0.0,0.0,0.0,1.4,4.959,5228.1
721.0,0.0,0.0,0.0,1.4,4.96,5228.1
152.0,0.0,0.0,0.0,1.4,4.967,5228.1
37.0,0.0,0.0,0.0,1.1,4.859,5191.0
172.0,0.0,0.0,0.0,-3.4,0.803,5017.5
349.0,0.0,0.0,0.0,1.4,4.958,5228.1
57.0,0.0,0.0,0.0,1.4,4.957,5228.1
731.0,0.0,0.0,0.0,-1.8,1.344,5099.1
56.0,0.0,0.0,0.0,-0.1,4.191,5195.8
955.0,0.0,0.0,0.0,-1.7,0.767,4991.6
120.0,0.0,0.0,0.0,-0.1,4.021,5195.8
410.0,0.0,0.0,0.0,-1.8,1.354,5099.1
605.0,0.0,0.0,0.0,1.4,4.865,5228.1
397.0,0.0,0.0,0.0,-3.4,0.781,5017.5
94.0,0.0,0.0,0.0,-0.1,4.191,5195.8
218.0,0.0,0.0,0.0,1.1,4.86,5191.0
641.0,0.0,0.0,0.0,-2.9,0.879,5076.2
200.0,0.0,1.0,1.0,-1.8,1.25,5099.1
467.0,1.0,1.0,2.0,-3.4,0.735,5017.5
48.0,0.0,0.0,0.0,1.4,4.959,5228.1
160.0,0.0,0.0,0.0,-1.8,1.405,5099.1
157.0,0.0,0.0,0.0,1.4,4.959,5228.1
248.0,0.0,0.0,0.0,1.1,4.856,5191.0
