duration,poutcome,emp.var.rate,euribor3m,nr.employed,y_n
385.0,0.0,1.1,4.864,5191.0,0
129.0,0.0,1.4,4.962,5228.1,0
271.0,0.0,-2.9,1.215,5076.2,0
138.0,0.0,1.1,4.86,5191.0,0
159.0,0.0,-1.8,1.405,5099.1,0
286.0,1.0,-1.8,1.313,5099.1,0
1606.0,0.0,-0.1,4.191,5195.8,0
259.0,0.0,-0.1,4.191,5195.8,0
393.0,0.0,1.1,4.857,5191.0,0
359.0,0.0,1.4,4.962,5228.1,1
36.0,0.0,-1.8,1.25,5099.1,0
140.0,0.0,-0.1,4.153,5195.8,0
680.0,2.0,-1.8,1.266,5099.1,1
230.0,1.0,-1.1,1.05,4963.6,0
108.0,0.0,1.1,4.864,5191.0,0
381.0,0.0,1.4,4.955,5228.1,0
15.0,0.0,1.4,4.864,5228.1,0
401.0,0.0,-1.7,0.761,4991.6,1
635.0,1.0,-0.1,4.021,5195.8,1
22.0,0.0,1.4,4.962,5228.1,0
116.0,0.0,1.4,4.961,5228.1,0
722.0,2.0,-1.8,1.266,5099.1,1
227.0,0.0,-1.8,1.327,5099.1,0
93.0,0.0,1.4,4.964,5228.1,0
179.0,0.0,-1.8,1.405,5099.1,0
974.0,0.0,1.1,4.857,5191.0,0
112.0,0.0,1.4,4.965,5228.1,0
129.0,1.0,-1.8,1.313,5099.1,0
44.0,1.0,-0.1,4.076,5195.8,0
125.0,0.0,-1.8,1.344,5099.1,0
150.0,0.0,1.4,4.959,5228.1,0
721.0,0.0,1.4,4.96,5228.1,1
152.0,0.0,1.4,4.967,5228.1,0
37.0,0.0,1.1,4.859,5191.0,0
172.0,0.0,-3.4,0.803,5017.5,0
349.0,0.0,1.4,4.958,5228.1,0
57.0,0.0,1.4,4.957,5228.1,0
731.0,0.0,-1.8,1.344,5099.1,1
56.0,0.0,-0.1,4.191,5195.8,0
955.0,0.0,-1.7,0.767,4991.6,1
120.0,0.0,-0.1,4.021,5195.8,0
410.0,0.0,-1.8,1.354,5099.1,1
605.0,0.0,1.4,4.865,5228.1,1
397.0,0.0,-3.4,0.781,5017.5,1
94.0,0.0,-0.1,4.191,5195.8,0
218.0,0.0,1.1,4.86,5191.0,0
641.0,0.0,-2.9,0.879,5076.2,1
200.0,1.0,-1.8,1.25,5099.1,0
467.0,2.0,-3.4,0.735,5017.5,1
48.0,0.0,1.4,4.959,5228.1,0
160.0,0.0,-1.8,1.405,5099.1,0
157.0,0.0,1.4,4.959,5228.1,0
248.0,0.0,1.1,4.856,5191.0,0
513.0,0.0,1.4,4.959,5228.1,0
106.0,0.0,-0.1,4.021,5195.8,0
40.0,0.0,-0.1,4.191,5195.8,0
73.0,0.0,1.4,4.961,5228.1,0
312.0,0.0,-1.8,1.435,5099.1,0
137.0,0.0,1.1,4.857,5191.0,0
130.0,0.0,1.4,4.963,5228.1,0
200.0,0.0,1.1,4.857,5191.0,0
124.0,0.0,1.1,4.858,5191.0,0
69.0,0.0,-0.1,4.076,5195.8,0
113.0,0.0,-1.8,1.25,5099.1,0
200.0,0.0,1.1,4.86,5191.0,0
412.0,0.0,1.1,4.857,5191.0,0
604.0,0.0,-2.9,1.268,5076.2,0
433.0,0.0,-1.8,1.266,5099.1,0
119.0,0.0,1.1,4.864,5191.0,0
345.0,0.0,-3.4,0.781,5017.5,1
